scenario_id,policy_name,arrival_normalized_weighted_goodput,unweighted_slo_success_rate,completion_fraction,mean_ttft,p95_ttft,p99_ttft,mean_tpot,p95_tpot,mean_queuing_delay,mean_prefill_delay_s,ttft_attainment,tbt_attainment,request_throughput,token_throughput,decode_stalled_steps,cumulative_decode_tokens_deferred,steps_with_prefill_while_decode_deferred,prefill_stalled_steps,cumulative_prefill_requests_stalled,budget_saturation_fraction,mean_num_decoding,mean_num_prefilling,fraction_prefill_tokens_while_decodes_active,status
pd1.psizemixed.occlow.slobalanced.loadmoderate.s20260818,chunked_prefill_large,0.9523809523809523,0.9523809523809523,1.0,0.04479578447856871,0.10944166828527586,0.12436581150695375,0.0010000000000000002,0.0010000000000000002,0.0006767368595210887,0.04411904761904763,1.0,1.0,13.972055888223553,3751.497005988024,0,0,0,153,1420,0.0603882099209202,4.053558590941768,0.6509705248023006,0.9809284761830059,success
pd1.psizemixed.occlow.slobalanced.loadmoderate.s20260818,adaptive_prefill_control,0.9047619047619048,0.9047619047619048,1.0,0.05591483209761633,0.15375368121222568,0.15892440557766396,0.0010000000000000002,0.0010000000000000005,0.0006767368595210888,0.055238095238095246,0.9047619047619048,1.0,13.95812562313061,3747.7567298105682,0,0,0,103,839,0.04235463029432879,4.047738693467337,0.8176597272074659,0.9813430745268537,success
pd1.psizemixed.occlow.slobalanced.loadmoderate.s20260819,full_prefill,0.8571428571428571,0.8571428571428571,1.0,0.045828003276273864,0.11418608971837946,0.11825292096902419,0.001,0.0010000000000000002,0.0006613366096072038,0.04516666666666666,1.0,1.0,13.080037371535347,4629.087511678605,0,0,0,164,1638,0.05991098938719617,5.088668264293051,0.6350564875042793,0.9876247639600755,success
pd1.psizemixed.occlow.slobalanced.loadmoderate.s20260819,chunked_prefill_small,0.8571428571428571,0.8571428571428571,1.0,0.05666133660960721,0.1472953733402926,0.1624410574046146,0.001,0.0010000000000000002,0.0006613366096072038,0.05600000000000001,0.9523809523809523,1.0,13.07596513075965,4627.646326276463,0,0,0,102,877,0.04056795131845842,5.025016903313049,0.7809330628803245,0.9716414890747235,success
pd1.psizemixed.occlow.slobalanced.loadmoderate.s20260819,chunked_prefill_large,0.8571428571428571,0.8571428571428571,1.0,0.04718514613341672,0.11555117901025279,0.12443292096902418,0.001,0.001,0.0006613366096072038,0.04652380952380952,1.0,1.0,13.080037371535347,4629.087511678605,0,0,0,159,1521,0.05707450444292549,5.079972658920028,0.6534518113465482,0.9818698858016366,success
pd1.psizemixed.occlow.slobalanced.loadmoderate.s20260819,decode_priority_chunked,0.8571428571428571,0.8571428571428571,1.0,0.05666133660960721,0.1472953733402926,0.1624410574046146,0.001,0.0010000000000000002,0.0006613366096072038,0.05600000000000001,0.9523809523809523,1.0,13.07596513075965,4627.646326276463,0,0,0,102,877,0.04056795131845842,5.025016903313049,0.7809330628803245,0.9716414890747235,success
pd1.psizemixed.occlow.slobalanced.loadmoderate.s20260818,decode_priority_chunked,0.9047619047619048,0.9047619047619048,1.0,0.05591483209761633,0.15375368121222568,0.15892440557766396,0.0010000000000000002,0.0010000000000000005,0.0006767368595210888,0.055238095238095246,0.9047619047619048,1.0,13.95812562313061,3747.7567298105682,0,0,0,103,839,0.04235463029432879,4.047738693467337,0.8176597272074659,0.9813430745268537,success
pd1.psizemixed.occlow.slobalanced.loadmoderate.s20260819,adaptive_prefill_control,0.8571428571428571,0.8571428571428571,1.0,0.05666133660960721,0.1472953733402926,0.1624410574046146,0.001,0.0010000000000000002,0.0006613366096072038,0.05600000000000001,0.9523809523809523,1.0,13.07596513075965,4627.646326276463,0,0,0,102,877,0.04056795131845842,5.025016903313049,0.7809330628803245,0.9716414890747235,success
pd1.psizemixed.occlow.slobalanced.loadhigh.s20260818,full_prefill,0.8269230769230769,0.8269230769230769,1.0,0.06446514868407455,0.15295383628773013,0.16069902364004876,0.001,0.0010000000000000002,0.0007343794533053103,0.06373076923076922,0.9230769230769231,1.0,22.569444444444443,7038.628472222222,0,0,0,225,2970,0.10412147505422993,7.035574837310195,1.415184381778742,0.991643523110494,success
pd1.psizemixed.occlow.slobalanced.loadhigh.s20260818,chunked_prefill_small,0.7884615384615384,0.7884615384615384,1.0,0.07694591791484376,0.1829181453683913,0.2134341542365092,0.001,0.0010000000000000002,0.0007343794533053103,0.07621153846153847,0.8461538461538461,1.0,22.559652928416483,7035.574837310195,0,0,0,179,1937,0.08542931483087597,7.032523850823938,1.6960104076322637,0.9868990940950869,success
